title,brand,brand_version,is_strict,year,month,distance,disaplacement,city,transmission,price,guiding_price
福特 福克斯 2012款 三厢 1.6L 自动舒适型 严选车0过户,福特,福克斯,严选车,2012,11,4.41,1.6,天津,自动,4.51,14.20
别克 凯越 2013款 1.5L 手动经典型 严选车降价急售0过户,别克,凯越,严选车,2014,12,4,1.5,廊坊,手动,3.95,4.14
标致2008 2014款 1.6L 自动领航版 严选车降价急售0过户,标致2008,,严选车,2014,07,3.16,1.6,石家庄,自动,5.99,6.19
本田 思域 2016款 220TURBO 手动豪华版 严选车降价急售0过户,本田,思域,严选车,2017,08,3.71,1.5,,手动,10.00,10.38
现代 全新胜达 2013款 3.0L 四驱尊享版 7座 欧IV(进口) 严选车降价急售0过户,现代,全新胜达,严选车,2013,03,4.89,3.0,,自动,11.67,12.33
丰田 花冠 2013款 1.6L 自动卓越版 严选车降价急售0过户,丰田,花冠,严选车,2014,01,3.7,1.6,天津,自动,5.94,6.03
福特 翼虎 2013款 1.6L GTDi 四驱精英型 严选车降价急售0过户,福特,翼虎,严选车,2013,12,7.9,1.6,,自动,8.72,9.48
本田 奥德赛 2017款 2.4L 豪华版 严选车降价急售0过户,本田,奥德赛,严选车,2017,10,4.84,2.4,,自动,21.28,21.8
大众 捷达 2013款 1.6L 手动舒适型 严选车0过户,大众,捷达,严选车,2013,04,6.57,1.6,,手动,4.35,10.70
福特 翼虎 2015款 1.5L GTDi 两驱风尚型 严选车降价急售0过户,福特,翼虎,严选车,2015,09,4.31,1.5,,自动,11.27,11.9
大众 速腾 2012款 1.4TSI 自动豪华型 严选车降价急售0过户,大众,速腾,严选车,2012,10,9.17,1.4,天津,自动,6.72,6.82
宝马5系 2012款 520Li 典雅型 严选车降价急售0过户,宝马5系,,严选车,2012,08,11.57,2.5,,自动,18.99,19.17
奔驰E级 2011款 E 200 L CGI优雅型 严选车降价急售0过户,奔驰E级,,严选车,2011,11,7.34,1.8,,自动,15.17,16.49
奔驰C级 2016款 C 200 L 运动型 严选车降价急售0过户,奔驰C级,,严选车,2017,01,3.95,2.0,,自动,26.74,27.17
吉利 远景X3 2017款 1.5L 自动尊贵型 严选车准新车0过户,吉利,远景X3,严选车,2018,03,0.08,1.5,,自动,5.41,7.20
英菲尼迪Q50L 2016款 2.0T 进取版 严选车降价急售0过户,英菲尼迪Q50L,,严选车,2017,06,3.67,2.0,廊坊,自动,19.24,19.71
标致408 2016款 1.6T 自动豪华版 严选车降价急售0过户,标致408,,严选车,2016,11,3.95,1.6,唐山,自动,8.87,9.21
宝马3系 2014款 320Li 时尚型 严选车0过户,宝马3系,,严选车,2013,12,8.55,2.0,,自动,16.76,38.90
别克 君越 2016款 28T 旗舰型 严选车降价急售,别克,君越,严选车,2017,04,2.79,2.0,,自动,19.10,19.4
Jeep 自由光 2017款 2.4L 优越版 严选车降价急售0过户,Jeep,自由光,严选车,2018,03,3.9,2.4,,自动,16.63,17.59
奥迪A6L 2014款 TFSI 舒适型 严选车降价急售0过户,奥迪A6L,,严选车,2014,09,9.83,2.0,,自动,22.07,23.14
日产 骊威 2013款 1.6XL CVT豪华版 严选车降价急售0过户,日产,骊威,严选车,2013,07,9.85,1.6,,自动,5.04,5.16
MG 锐腾 2015款 1.5TGI 手动精英版 严选车降价急售0过户,MG,锐腾,严选车,2016,03,3.16,1.5,,手动,6.06,6.15
大众 凌渡 2015款 280TSI DSG舒适版 严选车降价急售0过户,大众,凌渡,严选车,2016,01,5.82,1.4,石家庄,自动,11.32,11.75
北京BJ40 2016款 40L 2.3T 自动四驱尊享版 严选车降价急售0过户,北京BJ40,,严选车,2017,10,1.17,2.3,,自动,12.30,12.7
奔驰GLK级 2013款 GLK 300 4MATIC 动感天窗型 严选车0过户,奔驰GLK级,,严选车,2014,03,5.95,3.0,,自动,23.10,47.50
大众 帕萨特 2011款 1.8TSI 自动尊荣版 严选车降价急售0过户,大众,帕萨特,严选车,2012,04,8.91,1.8,,自动,9.63,9.78
日产 楼兰 2015款 2.5L XL 两驱智尚版 严选车降价急售0过户,日产,楼兰,严选车,2016,03,3.72,2.5,,自动,18.76,19.21
奔驰E级 2012款 E 200 L CGI优雅型 严选车降价急售0过户,奔驰E级,,严选车,2012,09,13.52,1.8,,自动,16.46,16.89
大众 迈腾 2012款 改款 2.0TSI 至尊型 严选车降价急售0过户,大众,迈腾,严选车,2012,06,13.36,2.0,,自动,10.19,10.76
荣威350 2014款 1.5L 自动迅悦版 严选车0过户,荣威350,,严选车,2015,01,8.34,1.5,石家庄,自动,3.99,10.80
大众 朗逸 2015款 230TSI 手动舒适版 严选车降价急售0过户,大众,朗逸,严选车,2016,01,11.65,1.4,石家庄,手动,6.88,6.96
宝马5系 2014款 525Li 领先型 严选车降价急售0过户,宝马5系,,严选车,2015,11,11.49,2.0,石家庄,自动,25.36,25.76
凯迪拉克SRX 2013款 3.0L 领先型(进口) 严选车降价急售0过户,凯迪拉克SRX,,严选车,2013,03,7,3.0,,自动,16.81,17.97
本田 奥德赛 2015款 2.4L 至尊版 严选车,本田,奥德赛,严选车,2015,04,6.12,2.4,,自动,18.23,32.50
奔驰E级 2014款 改款 E 260 L 运动豪华型 严选车降价急售,奔驰E级,,严选车,2014,03,7.55,1.8,,自动,26.40,26.82
宝马5系 2012款 523Li 豪华型 严选车降价急售0过户,宝马5系,,严选车,2012,04,10.92,2.5,,自动,20.85,21.2
宝沃汽车 宝沃BX7 2016款 28T 两驱精英版 5座 严选车降价急售0过户,宝沃汽车,宝沃BX7,严选车,2017,09,4.46,2.0,,自动,11.69,12.26
大众 迈腾 2013款 1.8TSI 领先型 严选车降价急售0过户,大众,迈腾,严选车,2013,05,7.21,1.8,,自动,10.66,11.49
北汽 BJ212 2016款 2.0L 方门 四驱豪华型 国IV 严选车降价急售0过户,北汽,BJ212,严选车,2016,07,0.49,2.0,唐山,手动,3.93,4.11
沃尔沃XC60 2015款 T5 AWD 智驭版 严选车降价急售0过户,沃尔沃XC60,,严选车,2015,12,10.72,2.0,廊坊,自动,18.96,19.43
大众 凌渡 2015款 280TSI DSG舒适版 严选车降价急售0过户,大众,凌渡,严选车,2015,10,7.33,1.4,,自动,11.30,11.58
福特 蒙迪欧 2013款 1.5L GTDi180时尚型 严选车降价急售0过户,福特,蒙迪欧,严选车,2016,12,5.69,1.5,沧州,自动,10.69,10.95
本田 奥德赛 2015款 2.4L 至尊版 严选车,本田,奥德赛,严选车,2015,04,6.12,2.4,,自动,18.23,32.50
别克 君越 2018款 28T 精英型 严选车降价急售准新车0过户,别克,君越,严选车,2018,01,0.66,2.0,,自动,19.53,20.01
标致308 2014款 乐享版 经典 1.6L 自动优尚型 严选车降价急售0过户,标致308,,严选车,2015,12,3.09,1.6,石家庄,自动,5.28,5.41
大众 凌渡 2015款 280TSI DSG舒适版 严选车降价急售0过户,大众,凌渡,严选车,2015,10,7.33,1.4,,自动,11.30,11.58
福特 福克斯 2012款 两厢 1.6L 自动风尚型 严选车降价急售0过户,福特,福克斯,严选车,2013,07,4.26,1.6,保定,自动,5.08,5.36
比亚迪S7 2016款 2.0T 自动尊贵型Plus 严选车降价急售0过户,比亚迪S7,,严选车,2016,11,3.24,2.0,廊坊,自动,7.11,7.43
标致3008 2013款 1.6THP 自动至尚版 严选车降价急售0过户,标致3008,,严选车,2013,05,4.81,1.6,保定,自动,7.52,7.62
吉利 帝豪GS 2016款 优雅版 1.3T 自动领尚型 严选车0过户,吉利,帝豪GS,严选车,2017,01,1.29,1.3,,自动,6.90,10.30
凯迪拉克XTS 2016款 28T 精英型 严选车降价急售,凯迪拉克XTS,,严选车,2016,08,8.65,2.0,,自动,20.21,20.71
长安CS75 2018款 280T 自动雅智型 严选车准新车0过户,长安CS75,,严选车,2018,10,0.27,1.5,,自动,11.15,14.80
奔驰B级 2009款 B 200 时尚型(进口) 严选车降价急售0过户,奔驰B级,,严选车,2011,05,9.99,2.0,,自动,7.24,7.8
福特 福克斯 2015款 两厢 1.6L 手动舒适型 严选车0过户,福特,福克斯,严选车,2016,10,1.57,1.6,廊坊,手动,5.90,12.40
现代 名图 2016款 1.6T 自动旗舰型TOP 严选车0过户,现代,名图,严选车,2016,08,3.32,1.6,廊坊,自动,10.64,18.40
长安 悦翔V3 2015款 1.4L 手动温馨型 国V 严选车降价急售0过户,长安,悦翔V3,严选车,2016,03,2.25,1.4,张家口,手动,2.54,2.58
英菲尼迪Q50L 2018款 2.0T 进享版 严选车降价急售准新车0过户,英菲尼迪Q50L,,严选车,2018,07,0.84,2.0,,自动,22.80,23.12
福特 锐界 2016款 EcoBoost 245 两驱豪锐型 7座 严选车降价急售0过户,福特,锐界,严选车,2016,09,3.36,2.0,,自动,19.69,20.17
福特 蒙迪欧 2013款 2.0L GTDi240豪华运动型 严选车降价急售,福特,蒙迪欧,严选车,2014,03,10.55,2.0,,自动,10.28,11.05
Jeep 自由侠 2017款 180TS 自动四驱越能版 严选车降价急售0过户,Jeep,自由侠,严选车,2017,10,1.51,2.0,,自动,12.96,13.28
大众 迈腾 2012款 2.0TSI 至尊型 严选车降价急售,大众,迈腾,严选车,2011,11,11.23,2.0,,自动,10.11,10.25
现代 新胜达 2011款 2.4 豪华版 七座两驱(进口) 严选车降价急售0过户,现代,新胜达,严选车,2011,08,9.21,2.4,,自动,7.24,7.98
别克 英朗 2011款 GT 1.8L 自动时尚版真皮款 严选车0过户,别克,英朗,严选车,2011,08,8.39,1.8,张家口,自动,4.32,17.90
大众 帕萨特 2013款 1.8TSI DSG御尊版 严选车0过户,大众,帕萨特,严选车,2013,10,7.16,1.8,天津,自动,10.51,26.00
别克 昂科拉 2013款 1.4T 自动两驱领先型 严选车降价急售0过户,别克,昂科拉,严选车,2013,11,5.29,1.4,天津,自动,5.82,6.1
马自达CX-4 2016款 2.0L 自动两驱蓝天品位版 严选车降价急售,马自达CX-4,,严选车,2017,07,0.83,2.0,,自动,13.40,13.73
英菲尼迪Q70L 2015款 Q70L 2.5L 精英版(进口) 严选车0过户,英菲尼迪Q70L,,严选车,2016,03,5.25,2.5,天津,自动,24.68,43.40
MINI Countryman 2011款 1.6L ONE 严选车降价急售,MINI,Countryman,严选车,2012,03,3.58,1.6,,自动,11.53,12.46
雷诺 科雷嘉 2017款 2.0L 两驱舒适版 严选车,雷诺,科雷嘉,严选车,2017,11,2,2.0,廊坊,自动,10.76,17.80
长安CS75 2014款 2.0L 手动豪华型 国IV 严选车降价急售0过户,长安CS75,,严选车,2015,09,6.37,2.0,石家庄,手动,5.37,5.71
长安商用 长安CX70 2017款 改款 CX70T 1.5T 手动豪擎版 严选车降价急售0过户,长安商用,长安CX70,严选车,2017,03,1.41,1.5,廊坊,手动,5.50,5.75
奔驰C级 2016款 C 180 L 运动型 严选车降价急售0过户,奔驰C级,,严选车,2016,05,3.84,1.6,,自动,22.57,24.15
奥迪Q5 2012款 2.0TFSI 进取型 严选车降价急售0过户,奥迪Q5,,严选车,2012,07,11.63,2.0,,自动,15.89,16.28
大众 帕萨特 2015款 1.8TSI DSG尊荣版 严选车降价急售0过户,大众,帕萨特,严选车,2015,10,8.98,1.8,廊坊,自动,12.50,13.33
日产 楼兰 2017款 2.5L XL 两驱智尚版 严选车降价急售,日产,楼兰,严选车,2017,12,5.99,2.5,,自动,18.49,19.82
长安CS95 2017款 2.0T 两驱智远版 严选车降价急售0过户,长安CS95,,严选车,2017,05,2.04,2.0,,自动,10.94,11.67
马自达6 2015款 2.0L 自动豪华型 严选车降价急售0过户,马自达6,,严选车,2015,04,5.84,2.0,石家庄,自动,7.64,7.76
日产 天籁 2011款 2.5L XL荣耀版 严选车降价急售0过户,日产,天籁,严选车,2012,06,13.44,2.5,,自动,7.96,8.66
宝马X1 2016款 sDrive18Li 尊享型 严选车降价急售0过户,宝马X1,,严选车,2017,02,2.09,1.5,唐山,自动,19.80,20.24
现代 领动 2016款 1.4T 双离合炫动・活力型 严选车降价急售0过户,现代,领动,严选车,2016,12,6.42,1.4,廊坊,自动,7.87,8.18
吉利 博越 2016款 1.8TD 自动智尊型 严选车降价急售0过户,吉利,博越,严选车,2017,03,4.98,1.8,沧州,自动,8.62,9.11
奔驰GLK级 2014款 GLK 260 4MATIC 动感型 严选车0过户,奔驰GLK级,,严选车,2014,07,8.61,2.0,,自动,22.34,43.20
福特 福克斯 2012款 两厢 1.6L 自动风尚型 严选车降价急售0过户,福特,福克斯,严选车,2013,03,8.84,1.6,廊坊,自动,4.97,5.32
大众 高尔夫 2012款 1.6 手动舒适型 严选车降价急售,大众,高尔夫,严选车,2014,01,8.54,1.6,,手动,6.22,6.3
大众 高尔夫 2012款 1.6 手动舒适型 严选车降价急售,大众,高尔夫,严选车,2014,01,8.54,1.6,,手动,6.22,6.3
大众 帕萨特 2011款 1.8TSI DSG御尊版 严选车降价急售0过户,大众,帕萨特,严选车,2012,04,13.84,1.8,,自动,9.93,10.67
雪佛兰 科帕奇 2014款 2.4L 四驱旗舰版 7座 严选车0过户,雪佛兰,科帕奇,严选车,2015,07,4.28,2.4,邯郸,自动,9.68,22.80
吉利 博越 2016款 1.8TD 自动智尊型 严选车降价急售0过户,吉利,博越,严选车,2016,11,2.04,1.8,唐山,自动,9.13,9.35
福田 萨瓦纳 2017款 2.0T 自动四驱汽油旗舰版7座 严选车降价急售0过户,福田,萨瓦纳,严选车,2016,08,2.53,2.0,石家庄,自动,9.70,9.95
别克 君越 2016款 20T 豪华型 严选车,别克,君越,严选车,2016,09,4.83,1.5,邯郸,自动,15.76,28.20
大众 桑塔纳 2015款 浩纳 1.6L 自动舒适型 严选车降价急售0过户,大众,桑塔纳,严选车,2016,06,3.63,1.6,石家庄,自动,6.97,7.08
长安CS35 2015款 1.6L 手动豪华型 国V 严选车降价急售0过户,长安CS35,,严选车,2015,05,6.25,1.6,保定,手动,4.00,4.22
比亚迪 思锐 2013款 1.5TID 自动尊贵型 严选车,比亚迪,思锐,严选车,2013,11,8.33,1.5,北京,自动,4.00,13.10
马自达CX-4 2016款 2.0L 自动两驱蓝天活力版 严选车降价急售0过户,马自达CX-4,,严选车,2016,08,5.77,2.0,廊坊,自动,11.27,11.88
北汽绅宝 绅宝D70 2013款 2.0T 豪华版 严选车0过户,北汽绅宝,绅宝D70,严选车,2014,04,4.72,2.0,石家庄,自动,4.79,19.70
标致408 2015款 1.2T 自动豪华版 严选车降价急售0过户,标致408,,严选车,2016,01,12.77,1.2,石家庄,自动,7.10,7.34
奥迪A6L 2014款 TFSI 标准型 严选车0过户,奥迪A6L,,严选车,2015,04,3.26,2.0,,自动,25.85,44.50
别克 君威 2015款 2.0L 领先时尚型 严选车降价急售0过户,别克,君威,严选车,2015,07,6.65,2.0,石家庄,自动,8.54,9.22
雪佛兰 迈锐宝XL 2016款 2.5L 自动锐尊版 严选车0过户,雪佛兰,迈锐宝XL,严选车,2016,09,1.84,2.5,石家庄,自动,14.11,27.10
长安CS35 2016款 1.6L 手动豪华型 国V 严选车降价急售0过户,长安CS35,,严选车,2016,08,2.56,1.6,石家庄,手动,4.85,4.97
比亚迪S7 2015款 2.0T 升级版 自动尊贵型 严选车降价急售,比亚迪S7,,严选车,2016,02,4.8,2.0,,自动,5.89,6.52
别克 昂科威 2018款 28T 四驱豪华型 严选车0过户,别克,昂科威,严选车,2017,12,0.44,2.0,廊坊,自动,18.89,31.50
别克 昂科威 2017款 28T 四驱精英型 严选车降价急售,别克,昂科威,严选车,2016,11,2.98,2.0,天津,自动,15.81,16.46
别克GL8 2015款 2.4L 豪华商务尊享版 严选车0过户,别克GL8,,严选车,2017,01,5.31,2.4,保定,自动,19.22,33.60
别克GL6 2018款 18T 6座精英型 严选车准新车0过户,别克GL6,,严选车,2018,06,0.88,1.3,,自动,10.43,15.70
荣威RX5 2016款 20T 两驱手动旗舰版 严选车0过户,荣威RX5,,严选车,2017,01,2.17,1.5,石家庄,手动,7.51,13.00
马自达CX-5 2015款 2.0L 自动两驱都市型 严选车降价急售0过户,马自达CX-5,,严选车,2017,01,1.34,2.0,石家庄,自动,13.54,13.99
丰田 雷凌 2017款 1.2T V CVT豪华版 严选车降价急售,丰田,雷凌,严选车,2017,03,2.21,1.2,天津,自动,9.09,9.61
北京BJ40 2016款 40L 2.3T 自动四驱尊享版 严选车降价急售,北京BJ40,,严选车,2017,05,1.65,2.3,天津,自动,11.77,12.02
别克 凯越 2015款 1.5L 手动经典型 严选车降价急售,别克,凯越,严选车,2015,09,3.03,1.5,天津,手动,4.07,4.14
长安CS95 2017款 2.0T 两驱智拓版 严选车降价急售0过户,长安CS95,,严选车,2017,11,1,2.0,保定,自动,11.30,11.66
起亚K4 2017款 1.6T 自动T-DLX Turbo 严选车0过户,起亚K4,,严选车,2017,02,3.37,1.6,保定,自动,10.26,17.30
吉利 博越 2016款 1.8TD 自动智慧型 严选车降价急售,吉利,博越,严选车,2017,11,2.04,1.8,天津,自动,9.95,10.44
江淮 瑞风M5 2016款 2.0T 汽油自动公务版 严选车降价急售,江淮,瑞风M5,严选车,2016,06,3.32,2.0,天津,自动,8.25,8.74
福特 福睿斯 2015款 1.5L 自动时尚型 严选车0过户,福特,福睿斯,严选车,2017,04,3.49,1.5,石家庄,自动,6.90,13.00
现代 朗动 2015款 1.6L 自动领先型 严选车0过户,现代,朗动,严选车,2016,02,6.94,1.6,天津,自动,6.81,13.90
大众 桑塔纳 2015款 浩纳 1.6L 自动舒适型 严选车降价急售,大众,桑塔纳,严选车,2016,06,4.04,1.6,天津,自动,6.90,7.08
菲亚特 致悦 2014款 1.4T 自动时尚版 严选车0过户,菲亚特,致悦,严选车,2015,09,3.03,1.4,衡水,自动,5.71,13.30
大众 宝来 2016款 1.6L 自动舒适型 严选车降价急售0过户,大众,宝来,严选车,2016,07,4.21,1.6,,自动,8.02,8.23
吉利 博越 2018款 1.8TD 自动两驱智尊型4G互联版 严选车降价急售准新车0过户,吉利,博越,严选车,2018,02,0.76,1.8,唐山,自动,11.08,11.28
大众 凌渡 2015款 330TSI DSG舒适版 严选车,大众,凌渡,严选车,2016,01,2.5,1.8,天津,自动,12.73,21.20
